Artist,Track,Popularity
The Weeknd,Die For You (with Ariana Grande) - Remix,77
The Weeknd,Creepin' (with The Weeknd & 21 Savage),95
The Weeknd,Die For You,89
The Weeknd,Starboy,91
The Weeknd,Blinding Lights,90
The Weeknd,I Was Never There,88
The Weeknd,Save Your Tears,88
The Weeknd,Call Out My Name,87
The Weeknd,Reminder,87
The Weeknd,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,82
Miley Cyrus,Flowers,86
Miley Cyrus,River,87
Miley Cyrus,Party In The U.S.A.,76
Miley Cyrus,Jaded,83
Miley Cyrus,Nothing Breaks Like a Heart (feat. Miley Cyrus),77
Miley Cyrus,Prisoner (feat. Dua Lipa),81
Miley Cyrus,Angels Like You,80
Miley Cyrus,Wrecking Ball,81
Miley Cyrus,Rose Colored Lenses,81
Miley Cyrus,Thousand Miles (feat. Brandi Carlile),79
Rihanna,We Found Love,83
Rihanna,Umbrella,72
Rihanna,Love On The Brain,86
Rihanna,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,77
Rihanna,Diamonds,76
Rihanna,Only Girl (In The World),82
Rihanna,Stay,73
Rihanna,Needed Me,83
Rihanna,S&M,80
Rihanna,Where Have You Been,79
Ariana Grande,Die For You (with Ariana Grande) - Remix,77
Ariana Grande,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,82
Ariana Grande,7 rings,84
Ariana Grande,One Last Time,82
Ariana Grande,positions,82
Ariana Grande,"thank u, next",81
Ariana Grande,Stuck with U (with Justin Bieber),80
Ariana Grande,Into You,70
Ariana Grande,Love Me Harder,78
Ariana Grande,34+35,79
Ed Sheeran,Perfect,88
Ed Sheeran,Shivers,86
Ed Sheeran,Shape of You,86
Ed Sheeran,Bad Habits,85
Ed Sheeran,Photograph,65
Ed Sheeran,Bam Bam (feat. Ed Sheeran),78
Ed Sheeran,Thinking out Loud,64
Ed Sheeran,Celestial,82
Ed Sheeran,I Don't Care (with Justin Bieber),72
Ed Sheeran,For My Hand (feat. Ed Sheeran),78
Harry Styles,As It Was,91
Harry Styles,Late Night Talking,88
Harry Styles,Watermelon Sugar,87
Harry Styles,Adore You,84
Harry Styles,Sign of the Times,83
Harry Styles,Falling,82
Harry Styles,Matilda,82
Harry Styles,Music For a Sushi Restaurant,81
Harry Styles,Satellite,81
Harry Styles,Golden,80
Sam Smith,Unholy (feat. Kim Petras),85
Sam Smith,I'm Not The Only One,85
Sam Smith,I'm Not Here To Make Friends,84
Sam Smith,Stay With Me,83
Sam Smith,Too Good At Goodbyes,82
Sam Smith,Dancing With A Stranger (with Normani),75
Sam Smith,Like I Can,78
Sam Smith,Fire On Fire,75
Sam Smith,Who We Love (feat. Ed Sheeran),75
Sam Smith,How Do You Sleep?,67
Lady Gaga,Bloody Mary,77
Lady Gaga,Shallow,83
Lady Gaga,Poker Face,76
Lady Gaga,Always Remember Us This Way,81
Lady Gaga,Just Dance,75
Lady Gaga,Bad Romance,81
Lady Gaga,Hold My Hand,71
Lady Gaga,Judas,70
Lady Gaga,Rain On Me (with Ariana Grande),75
Lady Gaga,Applause,77
Katy Perry,Dark Horse,79
Katy Perry,Last Friday Night (T.G.I.F.),73
Katy Perry,The One That Got Away,72
